"","order_country","latitude","longitude","category_name"
"1","Afghanistan",33.93911,67.709953,"Fishing"
"2","Afghanistan",33.93911,67.709953,"Men's Footwear"
"3","Afghanistan",33.93911,67.709953,"Water Sports"
"4","Afghanistan",33.93911,67.709953,"Shop By Sport"
"5","Afghanistan",33.93911,67.709953,"Camping & Hiking"
"6","Afghanistan",33.93911,67.709953,"Cardio Equipment"
"7","Afghanistan",33.93911,67.709953,"Indoor/Outdoor Games"
"8","Afghanistan",33.93911,67.709953,"Video Games"
"9","Afghanistan",33.93911,67.709953,"Women's Apparel"
"10","Afghanistan",33.93911,67.709953,"Cleats"
"11","Afghanistan",33.93911,67.709953,"Girls' Apparel"
"12","Afghanistan",33.93911,67.709953,"Hockey"
"13","Afghanistan",33.93911,67.709953,"Computers"
"14","Afghanistan",33.93911,67.709953,"Boxing & MMA"
"15","Afghanistan",33.93911,67.709953,"Health and Beauty"
"16","Afghanistan",33.93911,67.709953,"Pet Supplies"
"17","Afghanistan",33.93911,67.709953,"Lacrosse"
"18","Afghanistan",33.93911,67.709953,"Toys"
"19","Afghanistan",33.93911,67.709953,"Garden"
"20","Afghanistan",33.93911,67.709953,"Music"
"21","Afghanistan",33.93911,67.709953,"Sporting Goods"
"22","Afghanistan",33.93911,67.709953,"Electronics"
"23","Afghanistan",33.93911,67.709953,"Accessories"
"24","Afghanistan",33.93911,67.709953,"Golf Gloves"
"25","Albania",41.153332,20.168331,"Indoor/Outdoor Games"
"26","Albania",41.153332,20.168331,"Water Sports"
"27","Albania",41.153332,20.168331,"Women's Apparel"
"28","Albania",41.153332,20.168331,"Fishing"
"29","Albania",41.153332,20.168331,"Camping & Hiking"
"30","Albania",41.153332,20.168331,"Cardio Equipment"
"31","Albania",41.153332,20.168331,"Cleats"
"32","Albania",41.153332,20.168331,"Men's Footwear"
"33","Albania",41.153332,20.168331,"Shop By Sport"
"34","Algeria",28.033886,1.659626,"Cardio Equipment"
"35","Algeria",28.033886,1.659626,"Fishing"
"36","Algeria",28.033886,1.659626,"Cleats"
"37","Algeria",28.033886,1.659626,"Accessories"
"38","Algeria",28.033886,1.659626,"Shop By Sport"
"39","Algeria",28.033886,1.659626,"Golf Apparel"
"40","Algeria",28.033886,1.659626,"Camping & Hiking"
"41","Algeria",28.033886,1.659626,"Women's Apparel"
"42","Algeria",28.033886,1.659626,"Golf Balls"
